,SurveyYear,AreaDesc,SiteName,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,ValidHooks,TotalFish,TotalFishingTime.sec,Bank.Rockfish,Barred.Sand.Bass,Blue.Rockfish,Bocaccio,Brown.Rockfish,Brown.Smoothhound,Calico.Rockfish,California.Scorpionfish,California.Sheephead,California.Yellowtail,Canary.Rockfish,Chilipepper,Copper.Rockfish,Cowcod,Flag.Rockfish,Freckled.Rockfish,Gopher.Rockfish,Gray.Smoothhound,Greenblotched.Rockfish,Greenspotted.Rockfish,Greenstriped.Rockfish,Halfbanded.Rockfish,Honeycomb.Rockfish,Lingcod,Lizardfish,Mexican.Rockfish,Ocean.Whitefish,Olive.Rockfish,Pacific.Bonito,Pacific.Mackerel,Pink.Rockfish,Rosy.Rockfish,Sanddab.Unidentified,Southern.Rock.Sole,Speckled.Rockfish,Squarespot.Rockfish,Starry.Rockfish,Swordspine.Rockfish,Treefish,Vermilion.Rockfish,Widow.Rockfish,Yelloweye.Rockfish,Yellowtail.Rockfish,AreaDesc2,MPA.group,MPA.group2,MPA.group3,SiteType,MPA.type,CPUE.Fishpermin,CPUE.Fishper5min,CPUE.Fishpervalidhook,CPUE.Fishfor75hooks,Richness,MPA.when.sampled,BACI.ControlImpact,Mat.Verm,Imm.Verm,Mat.Boc,Imm.Boc,Imm.Gspot,Mat.Gspot,Target.sp,Nontarget.sp,Piscivore,Carnivore,Planktivore,Target.CPUE,Nontarget.CPUE,Piscivore.CPUE,Carnivore.CPUE,Planktivore.CPUE,Target.DShannons,Nontarget.DShannons,Piscivore.DShannons,Carnivore.DShannons,Planktivore.DShannons,Diversity.Shannon,Diversity.Simpson,Diversity.InvSimpson,n,Biomass,Nontarget.bio,Target.bio,Carnivore.bio,Piscivore.bio,Planktivore.bio
103,2004,Catalina Island,71,NA,NA,NA,34.5,38.13750013,42.4,75,24,3327,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,15,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.432822362,4.8,0.32,24,5,0,NA,0,15,0,0,0,1,20,4,0,23,1,0.266666667,0.053333333,0,0.306666667,0.013333333,0.799902779,0,0,0.984982593,0,1.117146858,0.5625,2.285714286,24,10.05,0.62,9.43,9.83,0,0.22
104,2008,Catalina Island,71,NA,NA,NA,43.7,44.16500053,44.9,75,20,4345,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,8,0,0,0,3,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.276179517,4,0.266666667,20,8,0,NA,0,3,0,1,0,0,16,3,1,9,9,0.213333333,0.04,0.013333333,0.12,0.12,1.44023475,0.636514168,0,1.522955068,0.348832096,1.749493825,0.764542936,4.247058824,20,5.5,0.46,5.04,3.78,0.34,1.38
105,2009,Catalina Island,71,NA,NA,NA,43.5,44.07499981,45.2,75,4,3421,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.070154925,0.8,0.053333333,4,3,0,NA,0,0,0,0,0,0,1,3,0,4,0,0.013333333,0.04,0,0.053333333,0,0,0.636514168,0,1.039720771,0,1.039720771,0.625,2.666666667,4,1.2,0.3,0.9,1.2,0,0
106,2010,Catalina Island,71,NA,NA,NA,44.3,45.05555513,45.7,70,9,4292,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.125815471,1.8,0.128571429,9.642857143,6,0,NA,0,3,0,0,0,0,6,2,0,6,2,0.085714286,0.028571429,0,0.085714286,0.028571429,1.242453325,0.693147181,0,1.242453325,0.693147181,1.667461933,0.78125,4.571428571,8,1.82,0.3,1.52,1.62,0,0.2
107,2011,Catalina Island,71,NA,NA,NA,42,42.65294109,44.4,75,34,2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,29,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.779220779,6.8,0.453333333,34,4,0,NA,0,29,0,0,0,0,30,4,0,30,4,0.4,0.053333333,0,0.4,0.053333333,0.146144746,0.562335145,0,0.146144746,0.562335145,0.557318879,0.262975779,1.356807512,34,6.94,0.44,6.5,6.5,0,0.44
108,2012,Catalina Island,71,21.3,21.3,21.3,44.2,44.38214288,44.7,75,28,4372,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,19,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.384263495,5.6,0.373333333,28,5,0,Control,0,19,0,0,0,0,23,5,0,27,1,0.306666667,0.066666667,0,0.36,0.013333333,0.582584245,0.500402424,0,0.915758837,0,1.037129268,0.507653061,2.031088083,28,7.9,0.78,7.12,7.84,0,0.06
109,2013,Catalina Island,71,20.4,20.50588235,20.6,44,44.45294032,45.1,55,17,4831,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.211136411,3.4,0.309090909,23.18181818,3,0,Control,0,14,0,0,0,0,16,1,0,16,1,0.290909091,0.018181818,0,0.290909091,0.018181818,0.376770161,0,0,0.376770161,0,0.578325287,0.30449827,1.437810945,17,3.32,0.04,3.28,3.28,0,0.04
110,2014,Catalina Island,71,24.2,24.30588235,24.5,42.3,43.4313718,44.6,75,51,3146,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,42,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.9726637,10.2,0.68,51,6,0,Control,0,42,0,0,0,0,47,4,0,47,4,0.626666667,0.053333333,0,0.626666667,0.053333333,0.451111161,0.562335145,0,0.451111161,0.562335145,0.734756034,0.314494425,1.458777342,51,12.06,0.38,11.68,11.74,0,0.32
111,2015,Catalina Island,71,22.2,22.334,22.5,42.8,43.35399925,44.3,70,50,3322,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,33,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.903070439,10,0.714285714,53.57142857,5,0,Control,0,32,1,3,0,0,48,2,5,45,0,0.685714286,0.028571429,0.071428571,0.642857143,0,0.872122305,0,0.500402424,0.700064827,0,1.00518156,0.516,2.066115702,50,19.8,0.36,19.44,16.84,2.96,0
112,2016,Catalina Island,71,NA,NA,NA,41.9,43.98478309,44.7,75,46,2418,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,36,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,1.141439206,9.2,0.613333333,46,5,0,Control,0,36,0,4,0,0,45,1,4,41,1,0.6,0.013333333,0.053333333,0.546666667,0.013333333,0.693395008,0,0,0.431819403,0,0.783053643,0.371455577,1.590977444,46,17.94,0.2,17.74,16.34,1.4,0.2
113,2017,Catalina Island,71,NA,NA,NA,42.7,43.41999969,44.5,75,20,4441,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,8,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.270209412,4,0.266666667,20,5,0,Control,0,8,0,0,0,0,19,1,0,11,9,0.253333333,0.013333333,0,0.146666667,0.12,1.120367451,0,0,0.759547391,0.348832096,1.262864322,0.665,2.985074627,20,4.96,0.08,4.88,3.78,0,1.18
114,2018,Catalina Island,71,NA,NA,NA,44.3,44.33999939,44.5,72,5,4403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.068135362,1,0.069444444,5.208333333,3,0,Control,0,1,0,0,0,0,2,3,0,1,4,0.027777778,0.041666667,0,0.013888889,0.055555556,0.693147181,0,0,0,0.562335145,0.950270539,0.56,2.272727273,5,0.55,0.22,0.33,0.2,0,0.35
115,2019,Catalina Island,71,NA,NA,NA,45.6,45.62499905,45.7,75,16,3755,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,Catalina Island,Farnsworth,Farnsworth,Catalina,Control,Non reserve,0.255659121,3.2,0.213333333,16,2,0,Control,0,11,0,0,0,0,15,0,0,15,0,0.2,0,0,0.2,0,0.579915171,0,0,0.579915171,0,0.579915171,0.391111111,1.642335766,16,6.88,0,6.88,6.88,0,0
116,2004,San Clemente Island,97,NA,NA,NA,38.3,42.32380967,47.5,70,21,2771,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.454709491,4.2,0.3,22.5,4,0,NA,0,0,16,0,0,0,21,0,18,1,2,0.3,0,0.257142857,0.014285714,0.028571429,0.800045853,0,0.348832096,0,0,0.800045853,0.399092971,1.664150943,21,19.18,0,19.18,0.96,16.96,1.26
117,2006,San Clemente Island,97,NA,NA,NA,45,46.13333333,48,70,15,2711,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.331980819,3,0.214285714,16.07142857,5,0,NA,1,0,6,1,0,1,15,0,12,2,1,0.214285714,0,0.171428571,0.028571429,0.014285714,1.263479494,0,0.679193266,0.693147181,0,1.263479494,0.657777778,2.922077922,15,12.54,0,12.54,1.5,10.36,0.68
118,2007,San Clemente Island,97,NA,NA,NA,44.5,45.89999921,47.3,75,28,4065,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.413284133,5.6,0.373333333,28,4,0,NA,1,0,10,3,0,0,28,0,15,1,12,0.373333333,0,0.2,0.013333333,0.16,1.02686466,0,0.392674467,0,0,1.02686466,0.594387755,2.465408805,28,22.19,0,22.19,1.62,14.77,5.8
119,2008,San Clemente Island,97,NA,NA,NA,49.3,50.54500008,51.4,74,20,3007,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,8,0,2,0,0,2,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.399068839,4,0.27027027,20.27027027,7,0,NA,1,1,4,0,0,0,18,2,6,6,8,0.243243243,0.027027027,0.081081081,0.081081081,0.108108108,1.427061043,0.693147181,0.636514168,1.329661349,0,1.67875263,0.765,4.255319149,20,12.68,0.62,12.06,3.96,4.72,4
120,2009,San Clemente Island,97,NA,NA,NA,46.5,51.62666651,53.2,75,15,4158,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,5,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.216450216,3,0.2,15,6,0,NA,1,0,4,0,0,0,12,3,5,9,1,0.16,0.04,0.066666667,0.12,0.013333333,1.352209399,0,0.500402424,0.936888308,0,1.582169943,0.764444444,4.245283019,15,12.2,0.44,11.76,4.68,7.02,0.5
121,2010,San Clemente Island,97,NA,NA,NA,46.3,48.11599991,51.1,75,25,4439,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,8,3,0,1,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.337913945,5,0.333333333,25,8,1,Protected,0,0,2,0,0,1,21,4,9,4,12,0.28,0.053333333,0.12,0.053333333,0.16,1.517464325,0.562335145,0.848685558,0.562335145,0.823959217,1.804313535,0.8,5,25,11.3,1.38,9.92,1.58,4.04,5.68
122,2012,San Clemente Island,97,20,20.55714286,20.9,46.2,46.88095265,47.6,75,42,2919,0,0,0,24,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,0,0,3,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.863309353,8.4,0.56,42,6,1,Protected,3,0,12,12,0,0,42,0,27,7,8,0.56,0,0.36,0.093333333,0.106666667,1.308347853,0,0.348832096,0.682908105,0.376770161,1.308347853,0.62585034,2.672727273,42,28.88,0,28.88,6.54,18.6,3.74
123,2013,San Clemente Island,97,20.2,20.475,20.8,46.8,48.67777655,51.6,73,36,3383,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.63848655,7.2,0.493150685,36.98630137,6,1,Protected,0,0,26,3,0,1,36,0,32,2,2,0.493150685,0,0.438356164,0.02739726,0.02739726,0.793958722,0,0.370802358,0.693147181,0,0.793958722,0.342592593,1.521126761,36,36.64,0,36.64,0.9,34.34,1.4
124,2014,San Clemente Island,97,22,22.046875,22.1,45.4,47.1156249,48.8,69,32,4232,0,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,3,0,1,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.4536862,6.4,0.463768116,34.7826087,9,1,Protected,0,0,7,0,0,0,31,1,9,4,19,0.449275362,0.014492754,0.130434783,0.057971014,0.275362319,1.533204776,0,0.683738906,0.562335145,0.733541749,1.624352925,0.71484375,3.506849315,32,20.95,0.16,20.79,3.32,8.57,9.06
125,2015,San Clemente Island,97,22,22.06,22.1,43.5,46.56499977,50,75,20,2401,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.499791753,4,0.266666667,20,4,1,Protected,1,0,8,0,0,0,20,0,10,1,9,0.266666667,0,0.133333333,0.013333333,0.12,1.105889879,0,0.500402424,0,0,1.105889879,0.625,2.666666667,20,17.48,0,17.48,1.04,11.02,5.42
126,2016,San Clemente Island,97,NA,NA,NA,45.1,51.48333263,53.1,75,12,3134,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.229738354,2.4,0.16,12,5,1,Protected,2,0,6,0,0,0,12,0,7,3,2,0.16,0,0.093333333,0.04,0.026666667,1.357977855,0,0.410116318,0.636514168,0,1.357977855,0.680555556,3.130434783,12,14.86,0,14.86,3.56,10.48,0.82
127,2017,San Clemente Island,97,NA,NA,NA,47.1,49.29999958,51.7,63,11,4261,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.154893218,2.2,0.174603175,13.0952381,4,1,Protected,2,0,3,3,0,1,9,1,6,4,0,0.142857143,0.015873016,0.095238095,0.063492063,0,0.848685558,0,0,1.039720771,0,1.088899975,0.58,2.380952381,10,7.16,0.16,7,3.4,3.76,0
128,2018,San Clemente Island,97,NA,NA,NA,45.5,47.51458255,48.8,75,48,3783,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0,7,0,0,1,5,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.761300555,9.6,0.64,48,7,1,Protected,0,1,4,7,0,0,47,1,11,15,22,0.626666667,0.013333333,0.146666667,0.2,0.293333333,1.38103393,0,0,1.263479494,0,1.453527207,0.703993056,3.37829912,48,29.16,0.22,28.94,10.06,8.08,11.02
129,2019,San Clemente Island,97,NA,NA,NA,49.9,52.26190567,53.4,75,21,4478,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,6,0,0,4,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Protected,Military closure,0.281375614,4.2,0.28,21,7,1,Protected,4,0,1,1,0,3,21,0,4,13,4,0.28,0,0.053333333,0.173333333,0.053333333,1.781520393,0,1.039720771,1.057905425,0,1.781520393,0.811791383,5.313253012,21,13.74,0,13.74,9.62,2.16,1.96
130,2004,San Clemente Island,101,NA,NA,NA,34.9,44.66190502,46.2,73,21,3022,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.416942422,4.2,0.287671233,21.57534247,5,0,NA,1,0,13,0,0,0,20,1,15,1,5,0.273972603,0.01369863,0.205479452,0.01369863,0.068493151,0.981941601,0,0.392674467,0,0.500402424,1.126626559,0.566893424,2.308900524,21,24.55,0.18,24.37,1.11,20.9,2.54
131,2008,San Clemente Island,101,NA,NA,NA,42.1,44.35652144,50.5,75,23,3847,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.358721081,4.6,0.306666667,23,6,0,NA,0,0,10,1,0,0,18,5,13,6,4,0.24,0.066666667,0.173333333,0.08,0.053333333,1.1169259,0,0.53596105,0.450561209,0,1.397702259,0.688090737,3.206060606,23,20.24,0.8,19.44,1.32,17.16,1.76
132,2009,San Clemente Island,101,NA,NA,NA,42.9,45.50666707,46.7,70,15,4203,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,1,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.214132762,3,0.214285714,16.07142857,6,0,NA,0,0,4,1,0,0,12,3,7,5,3,0.171428571,0.042857143,0.1,0.071428571,0.042857143,1.424129917,0,0.598269589,0.950270539,0,1.639706357,0.782222222,4.591836735,15,9.18,0.34,8.84,1.72,6,1.46
133,2010,San Clemente Island,101,NA,NA,NA,42,44.54545489,47.4,75,11,4217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.156509367,2.2,0.146666667,11,3,0,Control,1,0,0,0,0,0,11,0,0,5,6,0.146666667,0,0,0.066666667,0.08,0.916464886,0,0,0.500402424,0,0.916464886,0.561983471,2.283018868,11,6.48,0,6.48,3.46,0,3.02
134,2011,San Clemente Island,101,NA,NA,NA,44.1,46.65789514,47.8,75,19,4300,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.265116279,3.8,0.253333333,19,4,0,Control,0,0,8,5,0,0,15,4,13,6,0,0.2,0.053333333,0.173333333,0.08,0,0.392674467,0.562335145,0,1.011404265,0,0.94304567,0.493074792,1.972677596,19,12.16,0.54,11.62,0.98,11.18,0
135,2012,San Clemente Island,101,19.8,20.04615385,20.2,42.2,42.59230863,43.5,70,26,3314,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.470730235,5.2,0.371428571,27.85714286,4,0,Control,0,0,8,14,0,0,25,1,22,2,2,0.357142857,0.014285714,0.314285714,0.028571429,0.028571429,0.443306691,0,0,0.693147181,0,0.589280064,0.275147929,1.379591837,26,13.64,0.08,13.56,0.44,12.22,0.98
136,2013,San Clemente Island,101,20.6,20.825,21,43.3,47.64687431,51.8,74,32,3180,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.603773585,6.4,0.432432432,32.43243243,5,0,Control,1,0,17,5,0,0,30,2,22,4,6,0.405405405,0.027027027,0.297297297,0.054054054,0.081081081,0.776081022,0,0,1.039720771,0,0.961367617,0.486328125,1.946768061,32,22.16,0.24,21.92,2.72,16.08,3.36
137,2014,San Clemente Island,101,20.7,20.79375,21,42.5,45.33124971,47,75,16,4358,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.220284534,3.2,0.213333333,16,4,0,Control,0,0,5,0,0,0,16,0,6,0,10,0.213333333,0,0.08,0,0.133333333,1.21231388,0,0.450561209,0,0.610864302,1.21231388,0.671875,3.047619048,16,10.79,0,10.79,0,6.38,4.41
138,2015,San Clemente Island,101,21.4,21.41794872,21.5,41.7,42,42.3,75,39,2807,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,10,13,2,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.83363021,7.8,0.52,39,8,0,Control,0,0,3,5,0,0,37,2,11,5,23,0.493333333,0.026666667,0.146666667,0.066666667,0.306666667,1.562855382,0,0.759547391,1.054920168,0.684616278,1.684981954,0.771860618,4.383285303,39,13.38,0.34,13.04,2.12,5.58,5.68
139,2016,San Clemente Island,101,NA,NA,NA,43,45.27727231,49.8,75,22,2639,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,2,0,0,0,3,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.500189466,4.4,0.293333333,22,5,0,Control,1,1,7,0,0,0,22,0,9,3,10,0.293333333,0,0.12,0.04,0.133333333,1.439891137,0,0.529706199,0,0.500402424,1.439891137,0.731404959,3.723076923,22,17.77,0,17.77,3.22,10.72,3.83
140,2017,San Clemente Island,101,NA,NA,NA,41.3,44.26000031,47.2,75,25,4483,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,3,0,4,0,0,2,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.334597368,5,0.333333333,25,7,0,Control,1,1,6,1,0,0,25,0,9,13,3,0.333333333,0,0.12,0.173333333,0.04,1.832137505,0,0.529706199,1.306106609,0,1.832137505,0.8224,5.630630631,25,11.94,0,11.94,5.56,6.1,0.28
141,2018,San Clemente Island,101,NA,NA,NA,42,44.33030365,46.9,70,33,4246,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,10,2,6,0,0,0,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.466321244,6.6,0.471428571,35.35714286,7,0,Control,0,0,3,4,0,0,30,3,7,14,12,0.428571429,0.042857143,0.1,0.2,0.171428571,1.618990569,0,0,1.30130555,0.450561209,1.776445706,0.806244261,5.161137441,33,16.28,0.52,15.76,6.52,4.58,5.18
142,2019,San Clemente Island,101,NA,NA,NA,46.1,48.80769289,50.5,75,13,4518,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,1,0,0,0,San Clemente Island,San Clemente,San Clemente,San Clemente,Control,Non reserve,0.172642762,2.6,0.173333333,13,6,0,Control,1,0,2,2,0,1,13,0,5,6,2,0.173333333,0,0.066666667,0.08,0.026666667,1.605207107,0,0.500402424,0.867563228,0,1.605207107,0.769230769,4.333333333,13,6.92,0,6.92,2.62,3.68,0.62
143,2004,Point Conception/Arguello,149,NA,NA,NA,62,62.05714308,62.2,75,49,2222,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,Conception/Miguel,Conception,Conception/Richardson,Richardson Rock,Control,Non reserve,1.323132313,9.8,0.653333333,49,7,0,NA,16,6,3,0,0,15,49,0,3,46,0,0.653333333,0,0.04,0.613333333,0,1.415228303,0,0,1.262181159,0,1.415228303,0.688046647,3.205607477,49,47.12,0,47.12,43.46,3.66,0
144,2008,Point Conception/Arguello,149,NA,NA,NA,59.9,60.38000031,60.9,74,70,2179,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,3,0,0,Conception/Miguel,Conception,Conception/Richardson,Richardson Rock,Control,Non reserve,1.927489674,14,0.945945946,70.94594595,7,0,NA,36,11,2,0,0,12,68,2,2,68,0,0.918918919,0.027027027,0.027027027,0.918918919,0,1.002540276,0,0,1.002540276,0,1.103636963,0.514285714,2.058823529,70,82.78,0.8,81.98,80.48,2.3,0
145,2009,Point Conception/Arguello,149,NA,NA,NA,60,60.46811499,61.1,73,69,1729,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,59,0,0,0,Conception/Miguel,Conception,Conception/Richardson,Richardson Rock,Control,Non reserve,2.394447658,13.8,0.945205479,70.89041096,5,0,Control,54,5,4,0,0,4,69,0,4,64,1,0.945205479,0,0.054794521,0.876712329,0.01369863,0.586786735,0,0,0.313259855,0,0.586786735,0.261709725,1.354480797,69,103.24,0,103.24,96.8,5.72,0.72
