SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,CDFGBlock,IncludeSiteSheet,IncludeDrop,IncludeDropDetail,IncludeHook,MinOfAvgSST,AvgOfAvgSST,MaxOfAvgSST,MinOfVesselDepth,AvgOfVesselDepth,MaxOfVesselDepth,HookswithFish,ValidHook,Anemone unid,Bank Rockfish,Barred Sand Bass,Blackgill Rockfish,Blue Rockfish,Bocaccio,Bronzespotted Rockfish,Brown Rockfish,Brown Smoothhound,Calico Rockfish,California Market Squid,California Scorpionfish,California Sheephead,California Yellowtail,Canary Rockfish,Chilipepper,Copper Rockfish,Cowcod,Flag Rockfish,Freckled Rockfish,Giant plumose anemone,Gopher Rockfish,Gorgonian unident (coral),Gray Smoothhound,Greenblotched Rockfish,Greenspotted Rockfish,Greenstriped Rockfish,Halfbanded Rockfish,Honeycomb Rockfish,Humboldt Squid,Invert Unidentified,Lingcod,Lizardfish,Mexican Rockfish,Ocean Whitefish,Olive Rockfish,Pacific Bonito,Pacific Jack Mackerel,Pacific Mackerel,Pacific Sardine,Petrale Sole,Pink Rockfish,Pinkrose Rockfish,Rosethorn Rockfish,Rosy Rockfish,Sanddab Unidentified,Sharpchin Rockfish,Shortbelly Rockfish,Silvergray Rockfish,Southern Rock Sole,Speckled Rockfish,Spiny Dogfish,Spiny Sea Star,Squarespot Rockfish,Starry Rockfish,Stripetail Rockfish,Swordspine Rockfish,Treefish,Unknown Fish,Vermilion Rockfish,White Croaker,Whitespeckled Rockfish,Widow Rockfish,Yelloweye Rockfish,Yellowtail Rockfish
2005,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,43.5,44.6,46,5,5,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2006,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,44.9,45.91363716,47.5,22,22,,,,,,3,,,,,,,,,,,6,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,3,2,,,,,3,,,,,
2008,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,46.5,47.6846155,48.5,13,13,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,1,,,,,
2009,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,45.1,45.29999889,46,11,11,,,,,,4,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,
2010,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,44,45.36800049,46.2,25,25,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,17,2,,,,,1,,,,,
2011,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,44.9,46.4640007,48.2,25,25,,,,,,7,,,,,,,,,,,7,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,4,,,,,,,,1,,,,,,3,,,,,
2012,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,20.1,20.24516129,20.3,44.8,45.60322448,46.3,31,31,,,,,,19,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,5,,,,,
2013,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,20.9,20.97826087,21,44.5,45.14782649,46,23,23,,,,,,15,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
2014,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,20.8,20.8,20.8,44.5,45.16470516,47.4,17,17,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,3,3,,,,,6,,,,,
2015,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,20.9,21.02,21.1,43.4,45.28666662,48.9,15,15,,,,,,3,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,1,,,,,,4,,,,,
2016,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,44.5,45.37333349,48.2,15,15,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,9,,,,,,3,,,,,
2017,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,43.8,46.60000021,48.6,11,11,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,,,
2018,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,46.1,47.06363643,48.4,11,11,,,,,,1,,,,,,,1,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,
2019,San Clemente Island,114,32 52.435,118 31.788,58.9,0.80,51.30,850,TRUE,TRUE,TRUE,TRUE,,,,45.3,46.01999969,46.8,5,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,
2004,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,55.6,56.19387732,57,49,49,,,,,,25,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,18,,,,,2
2006,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,56,58.4285711,59.8,35,35,,,,,,8,,,,,,,,,,4,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,7,,,,,
2007,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,53.1,56.83571352,59.1,14,14,,,,,,5,,,,,,,,,,2,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,
2008,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,56,57.37222205,59.5,18,18,,,,,,5,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,6,,,,,1
2010,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,55.5,57.48000041,59.7,35,35,,,,,,3,,,,,,,,,,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,5,,,,,
2011,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,56.8,58.64047623,60.2,42,42,,,,,,7,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2012,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,20.5,20.552,20.6,55.6,56.18799942,56.3,25,25,,,,,,13,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,,,,
2013,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,21,21.2,21.3,56,56,56,25,25,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,9,,,,,
2014,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,20.8,20.8,20.8,56.1,57.2456135,59.1,57,57,,,,,,8,,,,,,,,,,27,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,,1,,,,,,9,,,,,
2015,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,21.2,21.27307692,21.3,54.9,55.01923048,55.1,52,52,,,,,,17,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,7,,,,,,,,,26,,,,,
2016,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,54.7,55.55000015,56.1,42,42,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,13,,,,,
2017,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,58.5,59.28888787,59.6,36,36,,,,,,16,,,,,,,,,,5,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,1,,,,,4,,,1,1,,,,,2,,,,,
2018,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,56,56.76923077,59,13,13,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,1,1,,,,,5,,,,,
2019,San Clemente Island,119,32 49.940,118 31.288,60.9,1.60,53.60,868,TRUE,TRUE,TRUE,TRUE,,,,55.7,57.41666667,59.1,24,24,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,15,,,,,
2004,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,43.4,44.09375048,46,16,16,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,3,,,,,,1,,,,3,,,,,1,,,,,
2006,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,42,43.63912947,47.1,23,23,,,,,,8,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,3,,,,,,3,,,1,3,,,,,,,,,,
2007,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,42.5,43.6909093,45.2,22,22,,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,5,,,,3,,,,,,,,,,
2008,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,46.2,47.73999977,49,10,10,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,2,,,,1,,,,,,,,,,
2009,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,41.9,44.6,49.3,15,15,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,2,,,,,,,,,,
2010,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,42.3,43.15333303,46.7,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,1,,,,3,,,,,1,,,,,
2011,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,42.1,42.74347853,46.1,23,23,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,2,3,,1,,,,,,,,
2012,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,21.3,21.4,21.5,42.5,44.00294102,44.7,34,34,,,,,,19,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,5,,,,,,,2,,,,,1,,,,1,,,,,4,,,,,
2013,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,19.2,19.21153846,19.3,42.7,44.70384612,47.3,26,26,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4,,,,,,,,,2,,,,,1,,,,,
2014,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,21.9,21.9,21.9,42.4,43.98333422,49.3,36,36,,,,,,8,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,5,,,,,,10,,,1,4,,,,,4,,,,,
2015,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,22.9,22.97777778,23,41.2,42.85555564,45.9,9,9,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,
2016,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,41.7,43.03000015,44.5,50,50,,,,,,16,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,,22,,,1,3,,,,,1,,,,,
2017,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,41.8,42.32926866,42.9,41,41,,,,,,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,8,,,3,12,,,,,2,,,,,
2018,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,43.1,46.1181814,49.7,33,33,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,9,,,,,,2,,,2,3,,,,1,,,,,,
2019,San Clemente Island,130,32 45.730,118 24.937,58.3,2.30,57.30,867,TRUE,TRUE,TRUE,TRUE,,,,42.2,43.69259177,51.1,27,27,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,1,,,,12,,,,,,,,,,
2004,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,50.1,52.90833314,55.4,12,12,,,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,
2008,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,54.4,55.52758651,56.9,58,58,,,,,,30,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,,,,,,,,,,,,,,,7,,,,1,,,,,14,,,,,
2009,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,52.3,52.9699995,53.5,20,20,,,,,,11,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,2,,,,,
2010,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,53.7,55.20555517,56.6,18,18,,,,,,1,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,6,,,,,2,,,,,
2011,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,53.4,53.92285756,54.4,35,35,,,,,,18,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,2,,,,,6,,,,,
2012,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,21.5,21.57619048,21.6,53.1,54.25476101,55.3,42,42,,,,,,35,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,
2013,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,18.6,18.64545455,18.7,53.6,54.47727221,56.4,44,44,,,,,,28,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,
2014,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,21.8,21.86744186,21.9,54.6,55.83023195,56.5,43,43,,,,,,20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1,,,,,10,,,,,
2015,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,23.2,23.2,23.2,53,53.09999975,53.5,6,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,
2016,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,53.6,54.8166665,57.1,18,18,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,7,,,6,,,,,,,,,,,
2017,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,52.5,54.75833289,58,12,12,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,
2018,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,53.1,55.02307686,59,13,13,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,3,,,,,
2019,San Clemente Island,133,32 44.658,118 24.674,58.1,3.40,57.20,867,TRUE,TRUE,TRUE,TRUE,,,,53.7,54.49697055,55.2,33,33,,,,,,8,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,9,,,1,5,,,,,7,,,,,
2004,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,91.2,92.24444439,95,27,27,,1,,,,2,,,,,,,,,,1,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2006,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,92.4,93.84666595,95.4,45,45,,22,,,,6,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
2007,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,91.5,93.77777863,94.8,36,36,,1,,,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,23,,,,,
2008,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,92.6,93.40293996,94.8,34,34,,2,,,,8,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,1,,,2,,,,,
2009,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,89.5,91.20312572,93.7,32,32,,1,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2010,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,92.6,95.29210482,103.6,38,38,,3,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,24,,,,,
2011,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,90.6,91.42272689,92.4,44,44,,,,,,3,,,,,,,,,,10,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,1,,,,,
2012,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,20.5,20.5,20.5,92.8,93.51714281,94.1,35,35,,1,,,,5,,,,,,,,,,1,,,,,,,,,1,11,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,7,,,,,
2013,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,18.6,18.61111111,18.7,91.5,93.42666677,94.9,45,45,,4,,,,7,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,10,,,,,
2014,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,20.7,20.71190476,20.8,90.7,91.68095125,94.2,42,42,,4,,,,2,,,,,,,,,,,,1,,,,,,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,9,,,,,,,,
2015,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,22.6,22.62580645,22.7,91,92.7580655,94,31,31,,1,,,,7,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,2,,,16,,,,,
2016,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,91.7,92.60625005,94.3,32,32,,2,,,,2,,,,,,,,,,5,,,,,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,12,,,,,,1,,,1,,,,,
2017,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,89.6,90.46909166,93.1,55,55,,5,,,,6,,,,,,,,,,16,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,2,,,1,,,,,
2018,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,91,92.21428696,94.5,49,49,,1,,,,2,,,,,,,,,,4,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,1,,1,,,9,,,,,
2019,San Clemente Island,136,32 43.418,118 27.403,60.4,4.80,59.60,867,TRUE,TRUE,TRUE,TRUE,,,,91.1,93.08367313,95.1,49,49,,5,,,,2,,,,,,,,,,9,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,12,,,1,,,,,
2004,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,80,81.20952352,83,21,21,,,,,,18,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2005,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,82,83.5,87,10,10,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2006,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,82.5,83.65714318,84.9,14,14,,,,,,11,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2007,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,84.6,85.95333252,89,15,15,,,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,6,,,,,
2008,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,80.5,81.18666738,84.9,15,15,,,,,,9,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,2,,,,,
2009,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,80.5,82.74375153,84.6,16,16,,,,,,6,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,
2010,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,81.7,84.18333266,88,18,18,,,,,,1,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,2,,,,,
2011,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,82.8,84.7954542,86.1,22,22,,,,,,5,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,7,,,,,
2012,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,21.2,21.26666667,21.3,82.2,85.48000132,88,15,15,,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,4,,,,,
2013,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,18.7,18.74081633,18.8,83.6,85.94693881,88,49,49,,5,,,,13,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,1,,,14,,,,,
2014,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,21.6,21.6,21.6,87.5,88.40961427,91.6,52,52,,3,,,,13,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,7,,,,,
2015,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,23.1,23.13870968,23.2,85.5,87.40322531,89.7,31,31,,3,,,,10,,,,,,,,,,,,1,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,8,,,,,
2016,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,82.6,84.01500092,86.9,40,40,,,,,,6,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,1,,,,,12,,,,,
2017,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,81,84.16792484,87.6,53,53,,,,,,10,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,1,,,,,31,,,,,
2018,San Clemente Island,137,32 42.971,118 24.277,57.8,5.20,57.00,867,TRUE,TRUE,TRUE,TRUE,,,,85.2,87.17307663,90.7,52,52,,,,,,5,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,4,,3,,,24,,,,,
