SurveyYear,AreaDesc,SiteName,SiteLatitude,SiteLongitude,PortDistance,LandfallDist_NM,MainlandDist_NM,AvgOfAvgSST,AvgOfVesselDepth,Bank.Rockfish,Blue.Rockfish,Bocaccio,California.Scorpionfish,California.Sheephead,Canary.Rockfish,Chilipepper,Copper.Rockfish,Cowcod,Flag.Rockfish,Gopher.Rockfish,Greenblotched.Rockfish,Greenspotted.Rockfish,Greenstriped.Rockfish,Halfbanded.Rockfish,Honeycomb.Rockfish,Lingcod,Lizardfish,Mexican.Rockfish,Ocean.Whitefish,Olive.Rockfish,Pacific.Bonito,Pacific.Mackerel,Pink.Rockfish,Rosy.Rockfish,Sanddab.Unidentified,Southern.Rock.Sole,Speckled.Rockfish,Spiny.Dogfish,Squarespot.Rockfish,Starry.Rockfish,Swordspine.Rockfish,Treefish,Unknown.Fish,Vermilion.Rockfish,Widow.Rockfish,Yelloweye.Rockfish,Yellowtail.Rockfish,HooksWithFish,ValidHooks,CPUE_perValidHook,CPUE_fishpersite,Target,Nontarget,Carnivore,Piscivore,Planktivore,Target.CPUE,Nontarget.CPUE,Piscivore.CPUE,Carnivore.CPUE,Planktivore.CPUE,Target.Dsimpsons,Nontarget.Dsimpsons,Piscivore.Dsimpsons,Carnivore.Dsimpsons,Planktivore.Dsimpsons,Diversity.Shannon,Diversity.Simpson,Diversity.InvSimpson
2007,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,39.44716939,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,2,0,0,2,0,0,0,10,0,1,0,53,75,0.706666667,53,51,2,14,37,2,0.68,0.026666667,0.493333333,0.186666667,0.026666667,0.623606305,0,0.363769175,0.448979592,0,1.436899517,0.6500534,2.85757884
2008,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,39.01272736,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0,0,1,0,0,5,0,0,2,0,0,0,5,0,0,0,55,60,0.916666667,68.75,54,1,8,30,17,0.9,0.016666667,0.5,0.133333333,0.283333333,0.766803841,0,0.464444444,0.53125,0.415224913,1.698438277,0.774876033,4.441997063
2009,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,39.51190458,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,5,0,0,7,0,0,0,3,0,4,2,42,75,0.56,42,41,1,13,20,9,0.546666667,0.013333333,0.266666667,0.173333333,0.12,0.849494349,0,0.625,0.627218935,0.49382716,2.106716619,0.85600907,6.94488189
2010,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,39.55609652,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,1,2,0,0,0,6,1,0,1,41,75,0.546666667,41,40,1,11,0,30,0.533333333,0.013333333,0,0.146666667,0.4,0.6725,0,1,0.644628099,0.464444444,1.4739009,0.687685901,3.201904762
2011,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,36.55000012,0,17,18,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,7,0,0,2,0,0,0,4,1,0,0,56,75,0.746666667,56,55,1,9,23,24,0.733333333,0.013333333,0.306666667,0.12,0.32,0.768264463,0,0.355387524,0.716049383,0.413194444,1.770184927,0.776147959,4.467236467
2012,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,15.65952381,40.1380954,0,2,15,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,42,75,0.56,42,42,0,13,26,3,0.56,0,0.346666667,0.173333333,0.04,0.77324263,1,0.559171598,0.426035503,0.444444444,1.660083542,0.77324263,4.41
2013,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,15.7,37.46363657,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,75,0.146666667,11,11,0,1,10,0,0.146666667,0,0.133333333,0.013333333,0,0.165289256,1,0,0,1,0.304636097,0.165289256,1.198019802
2014,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,17.26315789,39.71052672,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,68,0.279411765,20.95588235,19,0,0,14,5,0.279411765,0,0.205882353,0,0.073529412,0.459833795,1,0.132653061,1,0,0.765937337,0.459833795,1.851282051
2016,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,40.28999996,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0.5,37.5,20,0,0,20,0,0.5,0,0.5,0,0,0.32,1,0.32,1,1,0.500402424,0.32,1.470588235
2017,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,36.31110997,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,75,0.24,18,18,0,3,15,0,0.24,0,0.2,0.04,0,0.364197531,1,0.124444444,0,1,0.654669565,0.364197531,1.572815534
2018,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,40.25434842,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,46,74,0.621621622,46.62162162,46,0,9,36,1,0.621621622,0,0.486486486,0.121621622,0.013513514,0.472589792,1,0.202160494,0,0,0.916154289,0.472589792,1.896057348
2019,San Miguel Island,180,34 08.488,120 33.928,46.7,8.6,18.8,NA,40.29791721,0,2,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,2,0,0,0,0,0,0,16,0,1,0,48,70,0.685714286,51.42857143,46,2,20,24,4,0.657142857,0.028571429,0.342857143,0.285714286,0.057142857,0.741965974,0,0.517361111,0.34,0.5,1.649775577,0.761284722,4.189090909
2005,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,64.4787234,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,21,5,0,1,47,73,0.643835616,48.28767123,47,0,34,9,4,0.643835616,0,0.123287671,0.465753425,0.054794521,0.731552739,1,0,0.570934256,0,1.579172212,0.731552739,3.725126476
2007,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,64.80615352,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,3,65,74,0.878378378,65.87837838,65,0,51,14,0,0.878378378,0,0.189189189,0.689189189,0,0.544852071,1,0.336734694,0.31064975,1,1.145431616,0.544852071,2.197087884
2008,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,65.83571516,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,40,2,0,0,56,73,0.767123288,57.53424658,56,0,49,5,2,0.767123288,0,0.068493151,0.671232877,0.02739726,0.46619898,1,0.32,0.31153686,0,0.998667488,0.46619898,1.873357228
2009,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,67.55538518,0,0,1,0,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,55,0,0,0,65,75,0.866666667,65,65,0,60,3,2,0.866666667,0,0.04,0.8,0.026666667,0.278343195,1,0.666666667,0.155,0,0.676928855,0.278343195,1.38570023
2010,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,66.04166587,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,39,4,0,0,48,75,0.64,48,48,0,45,0,3,0.64,0,0,0.6,0.04,0.327256944,1,1,0.239012346,0,0.681488243,0.327256944,1.486451613
2011,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,65.82727363,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63,0,0,0,66,69,0.956521739,71.73913043,66,0,63,2,1,0.956521739,0,0.028985507,0.913043478,0.014492754,0.08815427,1,0.5,0,0,0.234844321,0.08815427,1.096676737
2012,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,15.60540541,65.66756604,0,0,2,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0,0,37,74,0.5,37.5,36,1,33,2,2,0.486486486,0.013513514,0.027027027,0.445945946,0.027027027,0.412037037,0,0,0.306703398,0,0.913421327,0.442658875,1.79423329
2013,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,14.75925926,66.72222166,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,27,75,0.36,27,27,0,26,1,0,0.36,0,0.013333333,0.346666667,0,0.07133059,1,0,0,1,0.15841057,0.07133059,1.076809453
2014,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,17.6,66.76666819,0,0,2,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,30,65,0.461538462,34.61538462,28,2,28,2,0,0.430769231,0.030769231,0.030769231,0.430769231,0,0.517857143,0,0,0.517857143,1,1.120509001,0.575555556,2.356020942
2015,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,20.24,66.105713,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1,70,75,0.933333333,70,70,0,65,5,0,0.933333333,0,0.066666667,0.866666667,0,0.15877551,1,0,0.030295858,1,0.331128001,0.15877551,1.188743328
2016,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,66.10666555,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,1,30,68,0.441176471,33.08823529,30,0,24,4,2,0.441176471,0,0.058823529,0.352941176,0.029411765,0.488888889,1,0.375,0.225694444,0,1.067750822,0.488888889,1.956521739
2017,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,65.92173833,0,0,1,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,1,46,73,0.630136986,47.26027397,45,1,45,1,0,0.616438356,0.01369863,0.01369863,0.616438356,0,0.53037037,0,0,0.53037037,1,0.948237326,0.550094518,2.222689076
2018,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,65.51323689,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,62,0,0,0,68,74,0.918918919,68.91891892,68,0,65,1,2,0.918918919,0,0.013513514,0.878378378,0.027027027,0.166522491,1,0,0.088994083,0,0.415758873,0.166522491,1.199792423
2019,San Miguel Island,181,34 05.647,120 34.385,47.9,7.1,21.7,NA,66.53793046,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,47,0,0,0,58,72,0.805555556,60.41666667,58,0,50,6,2,0.805555556,0,0.083333333,0.694444444,0.027777778,0.331747919,1,0.277777778,0.1128,0,0.721024768,0.331747919,1.496441281
2004,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,69.27096705,0,0,18,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,62,68,0.911764706,68.38235294,62,0,43,19,0,0.911764706,0,0.279411765,0.632352941,0,0.590010406,1,0.099722992,0.323418064,1,1.138345867,0.590010406,2.439086294
2005,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,69.65,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,8,60,72,0.833333333,62.5,60,0,52,8,0,0.833333333,0,0.111111111,0.722222222,0,0.430555556,1,0.21875,0.26035503,1,0.814990441,0.430555556,1.756097561
2007,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,69.85312498,0,0,16,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,8,64,73,0.876712329,65.75342466,64,0,45,19,0,0.876712329,0,0.260273973,0.616438356,0,0.604003906,1,0.27700831,0.327901235,1,1.168415458,0.604003906,2.525277435
2008,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,69.76538394,0,0,4,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,1,0,11,52,69,0.753623188,56.52173913,52,0,44,7,1,0.753623188,0,0.101449275,0.637681159,0.014492754,0.590976331,1,0.571428571,0.440082645,0,1.263514427,0.590976331,2.444846293
2009,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,70.88749981,0,0,9,0,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,2,56,69,0.811594203,60.86956522,56,0,42,12,2,0.811594203,0,0.173913043,0.608695652,0.028985507,0.530612245,1,0.402777778,0.216553288,0,1.153321264,0.530612245,2.130434783
2010,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,70.37142781,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,47,1,0,1,56,69,0.811594203,60.86956522,56,0,49,4,3,0.811594203,0,0.057971014,0.710144928,0.043478261,0.286989796,1,0,0.079133694,0,0.636102555,0.286989796,1.402504472
2011,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,68.73285686,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,54,0,0,4,70,73,0.95890411,71.91780822,70,0,58,11,1,0.95890411,0,0.150684932,0.794520548,0.01369863,0.387346939,1,0.429752066,0.128418549,0,0.83460749,0.387346939,1.63224517
2012,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,15.8016129,69.24838638,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,7,62,75,0.826666667,62,62,0,50,11,1,0.826666667,0,0.146666667,0.666666667,0.013333333,0.585848075,1,0.396694215,0.3928,0,1.226679484,0.585848075,2.414572864
2013,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,14.85681818,70.4499999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,35,0,0,6,44,75,0.586666667,44,44,0,41,1,2,0.586666667,0,0.013333333,0.546666667,0.026666667,0.34607438,1,0,0.249851279,0,0.680234331,0.34607438,1.529225908
2014,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,17.6,71.00000116,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1,46,62,0.741935484,55.64516129,46,0,43,3,0,0.741935484,0,0.048387097,0.693548387,0,0.336483932,1,0,0.245538129,1,0.677619892,0.336483932,1.507122507
2015,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,20.08028169,69.3028169,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1,71,75,0.946666667,71,71,0,63,8,0,0.946666667,0,0.106666667,0.84,0,0.224558619,1,0,0.031242126,1,0.424400099,0.224558619,1.28958813
2016,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,70.28064568,0,0,12,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1,62,69,0.898550725,67.39130435,62,0,46,16,0,0.898550725,0,0.231884058,0.666666667,0,0.498439126,1,0.3984375,0.161625709,1,1.007897651,0.498439126,1.993775934
2017,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,71.06296257,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,54,71,0.76056338,57.04225352,54,0,52,2,0,0.76056338,0,0.028169014,0.732394366,0,0.312757202,1,0,0.26035503,1,0.571832739,0.312757202,1.45508982
2018,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,70.25806378,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,42,0,0,1,62,73,0.849315068,63.69863014,62,0,52,4,6,0.849315068,0,0.054794521,0.712328767,0.082191781,0.506243496,1,0,0.317307692,0,1.013378265,0.506243496,2.025289779
2019,San Miguel Island,182,34 05.049,120 34.519,48.3,6.9,22.4,NA,70.95294335,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,8,68,74,0.918918919,68.91891892,68,0,62,6,0,0.918918919,0,0.081081081,0.837837838,0,0.347750865,1,0,0.224765869,1,0.649048475,0.347750865,1.533156499
2005,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,67.18939394,0,0,13,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,3,66,73,0.904109589,67.80821918,66,0,53,13,0,0.904109589,0,0.178082192,0.726027397,0,0.47107438,1,0,0.23994304,1,0.916116566,0.47107438,1.890625
2007,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.25714043,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,1,0,15,56,71,0.788732394,59.15492958,56,0,50,6,0,0.788732394,0,0.084507042,0.704225352,0,0.646045918,1,0.277777778,0.5664,1,1.313482064,0.646045918,2.825225225
2008,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,67.88142885,0,0,6,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,36,0,0,11,70,72,0.972222222,72.91666667,70,0,48,15,7,0.972222222,0,0.208333333,0.666666667,0.097222222,0.676734694,1,0.48,0.384548611,0,1.39805983,0.676734694,3.093434343
2009,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.7149999,0,0,1,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,37,1,0,4,60,75,0.8,60,60,0,48,11,1,0.8,0,0.146666667,0.64,0.013333333,0.579444444,1,0.165289256,0.387152778,0,1.257308217,0.579444444,2.377807133
2010,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.63999967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,43,2,0,3,55,73,0.753424658,56.50684932,55,0,48,0,7,0.753424658,0,0,0.657534247,0.095890411,0.368264463,1,1,0.191840278,0,0.733967599,0.368264463,1.582940869
2011,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.0969696,0,0,3,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,0,7,66,75,0.88,66,66,0,47,17,2,0.88,0,0.226666667,0.626666667,0.026666667,0.591368228,1,0.290657439,0.28881847,0,1.187697029,0.591368228,2.447191011
2012,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,16.32727273,67.10363672,0,0,7,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,55,72,0.763888889,57.29166667,55,0,44,9,2,0.763888889,0,0.125,0.611111111,0.027777778,0.492561983,1,0.37037037,0.23553719,0,1.025760525,0.492561983,1.970684039
2013,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,14.536,68.06799896,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,25,75,0.333333333,25,25,0,24,1,0,0.333333333,0,0.013333333,0.32,0,0.2784,1,0,0.21875,1,0.529643503,0.2784,1.385809313
2014,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,17.2,72.09487152,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,2,39,71,0.549295775,41.1971831,39,0,35,4,0,0.549295775,0,0.056338028,0.492957746,0,0.458908613,1,0.375,0.336326531,1,0.944816849,0.458908613,1.848116646
2016,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.44999843,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,36,44,0.818181818,61.36363636,36,0,32,4,0,0.818181818,0,0.090909091,0.727272727,0,0.24537037,1,0,0.060546875,1,0.472441694,0.24537037,1.325153374
2017,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.40434785,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,5,69,74,0.932432432,69.93243243,69,0,56,13,0,0.932432432,0,0.175675676,0.756756757,0,0.438983407,1,0.142011834,0.194515306,1,0.850523611,0.438983407,1.782478472
2018,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,67.95217321,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,48,0,0,11,69,74,0.932432432,69.93243243,69,0,61,6,2,0.932432432,0,0.081081081,0.824324324,0.027027027,0.481411468,1,0,0.34721849,0,0.96283633,0.481411468,1.928311057
2019,San Miguel Island,184,34 03.553,120 33.158,47.9,5.3,23.5,NA,68.00980422,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,34,0,0,8,51,75,0.68,51,51,0,44,3,4,0.68,0,0.04,0.586666667,0.053333333,0.520569012,1,0,0.368801653,0,1.081378486,0.520569012,2.085805934
2004,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,48.41071429,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,12,56,71,0.788732394,59.15492958,56,0,12,41,3,0.788732394,0,0.577464789,0.169014085,0.042253521,0.595663265,1,0.336704343,0,0,1.215700253,0.595663265,2.47318612
2005,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,49.44677501,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,62,71,0.873239437,65.49295775,62,0,44,18,0,0.873239437,0,0.253521127,0.61971831,0,0.672736733,1,0.104938272,0.5,1,1.156642533,0.672736733,3.055643879
2007,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,48.26056322,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,2,0,0,1,0,0,0,14,4,1,22,71,75,0.946666667,71,71,0,41,28,2,0.946666667,0,0.373333333,0.546666667,0.026666667,0.785955168,1,0.517857143,0.585365854,0,1.742742336,0.785955168,4.671918443
2008,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,49.15396784,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,8,0,0,0,0,0,2,7,5,0,17,63,72,0.875,65.625,61,0,30,23,8,0.847222222,0,0.319444444,0.416666667,0.111111111,0.812684762,1,0.491493384,0.595555556,0,1.853845731,0.823381204,5.661911555
2009,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,50.6090907,0,0,9,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,0,1,0,0,5,0,0,2,0,0,0,23,2,0,5,55,75,0.733333333,55,53,2,39,11,5,0.706666667,0.026666667,0.146666667,0.52,0.066666667,0.751868993,0.5,0.297520661,0.612754767,0,1.822027005,0.76892562,4.327610873
2010,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,48.7399992,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,7,0,0,2,0,0,0,3,3,0,18,40,70,0.571428571,42.85714286,39,1,27,6,7,0.557142857,0.014285714,0.085714286,0.385714286,0.1,0.731097962,0,0.611111111,0.524005487,0,1.731175404,0.74375,3.902439024
2011,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,NA,49.01372588,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,12,4,0,15,51,70,0.728571429,54.64285714,51,0,32,13,6,0.728571429,0,0.185714286,0.457142857,0.085714286,0.797385621,1,0.378698225,0.623046875,0,1.752462645,0.797385621,4.935483871
2012,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,15.98095238,47.76666668,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,0,11,0,1,12,42,75,0.56,42,41,1,24,11,7,0.546666667,0.013333333,0.146666667,0.32,0.093333333,0.790005949,0,0.67768595,0.538194444,0,1.772278675,0.799319728,4.983050847
2013,San Miguel Island,185,34 02.395,120 30.622,46.5,3,24.3,14.3,49.94137928,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,6,0,0,8,29,64,0.453125,33.984375,29,0,17,9,3,0.453125,0,0.140625,0.265625,0.046875,0.801426873,1,0.345679012,0.636678201,0,1.743989424,0.801426873,5.035928144
